"Curley Gao","希林娜依高","Dream Sound","1998","t","11"
"Chen Zhuoxuan","陈卓璇","Tian Hao Entertainment","1997","t","9"
"Zheng Naixin","郑乃馨","Huaying Yixing","1997","t","49"
"Liu Xiening","刘些宁","Good Example Culture","1996","t","42"
"Zhang Yifan","张艺凡","Time Fengjun Entertainment","????","t","94"
"Jiang Zhenyu","姜贞羽","Grammarie Entertainment","1996","t","24"
"Wang Yijin","王艺瑾","Jiaxing Media","1996","t","68"
"Lin Junyi","林君怡","Turn East Media","1997","ne","38"
"Yao Hui","姚慧","ZhuoRan Entertainment","1996","ne","82"
"Zhao Yue","赵粤","Shanghai Star 48 Culture","1995","ne","95"
"Ao Xinyi","敖心仪","Jiaxing Media","2001","ne","1"
"Bian Ka","卞卡","Huayi Brothers","????","ne","2"
"Bi Shaoyan","毕少岩","1CM Lingyu Entertainment","1997","ne","3"
"Chen Ke","陈珂","Shanghai Star 48 Culture","1995","ne","4"
"Chen Qiannan","陈倩楠", "Shanghai Star 48 Culture","1995","ne","5"
"Chen Roubing","陈柔冰","N/A","1999","ne","6"
"Chen Xinye","陈欣叶","White Meda","1996","ne","7"
"Chen Yujin","陈俞瑾","Younger Culture Entertainment","1999","ne","8"
"Cui Wenmeixiu","崔文美秀","Jiaxing Media","1999","ne","10"
"Ding Shiyu","丁诗妤","Huayi Brothers","????","ne","12"
"Feng Wanhe","冯琬贺","Jiaxing Media","2000","ne","13"
"Gao Zhi","高直","Top One Culture","1997","ne","14"
"Hua Chengyan","华承妍","One Leader Entertainment","????","ne","15"
"Huang Biyin","黄碧茵","Banana Culture","1996","ne","16"
"Huang Enru","黄恩茹","Shanghai Star 48 Culture","1997","ne","17"
"Huang Ruoyuan","黄若元","Huayi Brothers","1996","ne","18"
"Huang Yuoqing","黄雨晴","TOP CLASS Entertainment","????","ne","19"
"Hu Jiaxin","胡嘉欣","Tian Hao Entertainment","2001","ne","20"
"Hu Maer","胡玛尔","Tian Hao","1995","ne","21"
"Hu Yanan","胡娅楠","Big Pictures Universal Entertainment","????","ne","22"
"Jiang Dan","姜丹","TH Entertainent","1993","ne","23"
"Ji Yangliu","吉扬柳","Banana Culture","2000","ne","25"
"Zhu Zhuai","朱主爱","Leteng Live Entertainment","1997","ne","26"
"Kang Xi","康汐","Good Example Culture","1995","ne","27"
"Lana","拉娜","Bates Me Thinks Entertainment","1996","ne","28"
"Li Baoyi","李保怡","Banana Culture","1994","ne","29"
"Li Chengxi","李丞汐","N/A","1995","ne","30"
"Li Huiyu","李惠玉","AIF Entertainment","1997","ne","31"
"Li Jiaen","李佳恩","Shanghai Star 48 Culture","2000","ne","32"
"Li Jiajie","李佳洁","Huace Group Entertainment","1998","ne","33"
"Li Man","李佳洁","SDT Entertainment","????","ne","34"
"Li Mengqi","李梦琦","Banana Culture","1997","ne","35"
"Li Zimeng","李紫梦","Seventfive Entertainment","1998","ne","36"
"Lin Jiahui","林嘉慧","QiGu Culture","1999","ne","37"
"Liu Meng","刘梦","Jiaxing Media","1997","ne","39"
"Liu Nian","刘念","AKB48 China","2001","ne","40"
"Liu Shiqui","刘诗琦","Top One Culture","1996","ne","41"
"Liu Yulu","刘雨露","Good Example Culture","1998","ne","43"
"Lv Xinwei","吕欣蔚","NAHAN Culture","????","ne","44"
